2025-08-12 22:37:43 install linux-libc-dev:all <none> 6.12.38-1
2025-08-12 22:37:43 status half-installed linux-libc-dev:all 6.12.38-1
2025-08-12 22:37:43 status unpacked linux-libc-dev:all 6.12.38-1
2025-08-12 22:37:43 install libcrypt-dev:amd64 <none> 1:4.4.38-1
2025-08-12 22:37:43 status half-installed libcrypt-dev:amd64 1:4.4.38-1
2025-08-12 22:37:43 status unpacked libcrypt-dev:amd64 1:4.4.38-1
2025-08-12 22:37:43 install rpcsvc-proto:amd64 <none> 1.4.3-1
2025-08-12 22:37:43 status half-installed rpcsvc-proto:amd64 1.4.3-1
2025-08-12 22:37:43 status unpacked rpcsvc-proto:amd64 1.4.3-1
2025-08-12 22:37:43 install libc6-dev:amd64 <none> 2.41-12
2025-08-12 22:37:43 status half-installed libc6-dev:amd64 2.41-12
2025-08-12 22:37:43 status unpacked libc6-dev:amd64 2.41-12
2025-08-12 22:37:43 install libbluetooth-dev:amd64 <none> 5.82-1.1
2025-08-12 22:37:43 status half-installed libbluetooth-dev:amd64 5.82-1.1
2025-08-12 22:37:43 status unpacked libbluetooth-dev:amd64 5.82-1.1
2025-08-12 22:37:44 install libbrotli1:amd64 <none> 1.1.0-2+b7
2025-08-12 22:37:44 status half-installed libbrotli1:amd64 1.1.0-2+b7
2025-08-12 22:37:44 status unpacked libbrotli1:amd64 1.1.0-2+b7
2025-08-12 22:37:44 install libbrotli-dev:amd64 <none> 1.1.0-2+b7
2025-08-12 22:37:44 status half-installed libbrotli-dev:amd64 1.1.0-2+b7
2025-08-12 22:37:44 status unpacked libbrotli-dev:amd64 1.1.0-2+b7
2025-08-12 22:37:44 install libbz2-dev:amd64 <none> 1.0.8-6
2025-08-12 22:37:44 status half-installed libbz2-dev:amd64 1.0.8-6
2025-08-12 22:37:44 status unpacked libbz2-dev:amd64 1.0.8-6
2025-08-12 22:37:44 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg2-9
2025-08-12 22:37:44 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg2-9
2025-08-12 22:37:44 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg2-9
2025-08-12 22:37:44 install libdb-dev:amd64 <none> 5.3.4
2025-08-12 22:37:44 status half-installed libdb-dev:amd64 5.3.4
2025-08-12 22:37:44 status unpacked libdb-dev:amd64 5.3.4
2025-08-12 22:37:44 install libexpat1-dev:amd64 <none> 2.7.1-2
2025-08-12 22:37:44 status half-installed libexpat1-dev:amd64 2.7.1-2
